GDP(P2010);2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Netherlands;572593.4;573484.6;584868.0;596862.9;617520.2;640818.3;654726.1;630718.1;639187.0;649102.0;642414.0;641577.7;650709.9;663458.4;677999.5;697735.4;714208.3;728175.3;699877.8;733914.4;766780.9
Austria;261538.0;264000.3;271221.0;277307.4;286885.7;297579.1;301925.0;290558.8;295896.6;304545.1;306617.4;306695.6;308723.7;311855.7;318059.8;325243.4;333131.9;338186.8;316360.3;330776.4;347305.1
Poland;254754.0;263666.2;276804.3;286511.4;304077.8;325550.4;339223.4;348830.8;359067.8;377172.6;383000.8;386281.4;401102.9;418684.4;431050.3;453206.3;480150.4;501517.3;491386.0;525035.0;550625.3
Portugal;171580.3;169983.7;173024.2;174377.0;177210.7;181652.6;182232.6;176543.1;179610.8;176564.3;169400.6;167837.6;169167.2;172198.7;175676.3;181836.1;187017.2;192034.4;176094.6;185784.6;198205.7
Romania;94323.5;96531.7;106598.2;111574.3;120532.4;129251.5;141281.6;133486.5;128278.9;134073.4;136654.3;137023.2;142669.4;147178.5;151384.2;163792.4;173667.5;180359.2;173726.5;183790.9;192598.5
Slovenia;29718.0;30597.7;31931.6;33144.3;35048.9;37495.4;38811.4;35881.7;36363.9;36677.1;35709.1;35341.5;36319.8;37122.5;38307.4;40152.1;41940.6;43388.0;41513.0;44921.7;47336.0
Slovakia;45334.4;47827.4;50352.1;53687.2;58246.9;64556.2;68155.2;64437.0;68764.9;70602.0;71533.1;71985.7;73927.3;77747.2;79258.6;81587.3;84875.6;87014.2;84077.7;86612.1;88057.4
Finland;164794.1;168096.2;174806.8;179666.1;186902.0;196806.6;198349.5;182333.9;188143.0;192936.3;190239.9;188524.5;187836.6;188857.7;194167.4;200366.0;202649.6;205131.6;200300.8;206402.9;210703.9
Sweden;312409.7;319625.7;333487.4;343021.2;359015.5;371362.8;369689.6;353645.9;374695.2;386668.0;384393.2;388959.0;399296.7;417222.3;425861.2;436797.0;445314.7;454159.5;444303.3;468232.7;480604.4
Iceland;8403.4;8583.4;9253.1;9819.8;10440.2;11322.9;11573.0;10686.1;10383.4;10575.0;10687.5;11174.1;11362.6;11866.7;12614.8;13143.9;13786.6;14035.4;13019.0;13583.2;14458.6
Norway;288295.9;291020.1;302703.4;310831.3;318482.4;327763.0;329342.6;322952.1;325493.9;329092.8;338037.4;341472.5;348466.3;354938.5;359072.5;367919.2;370969.0;375137.7;370342.8;384780.3;397403.2
Switzerland;382430.7;382306.8;392635.6;403431.9;419866.3;436309.8;448561.3;438256.2;452470.6;460674.3;466106.9;474460.2;485609.4;493595.9;503806.9;510672.7;525280.3;531278.9;518658.0;540554.3;551685.5
United Kingdom;1677070.0;1732780.3;1772396.5;1824783.1;1873939.1;1918174.8;1912827.3;1834134.6;1872175.5;1896059.0;1923180.1;1965223.0;2021482.0;2069251.0;2104891.5;2141523.2;2168347.7;2198071.7;;;
Bosnia and Herzegovina;9818.6;10198.3;10843.4;11266.0;11875.9;12571.7;13255.9;12857.6;12968.9;13093.3;12985.7;13290.9;13444.2;14024.3;14479.0;14948.7;15521.1;15969.0;15487.6;16632.3;
Montenegro;;;;;2819.5;3011.5;3229.0;3041.9;3125.1;3226.0;3138.1;3249.5;3307.5;3419.6;3520.4;3686.5;3873.7;4031.1;3414.0;3859.3;4094.5
North Macedonia;5216.9;5332.8;5582.1;5845.8;6146.1;6544.0;6902.0;6877.3;7108.3;7274.6;7241.4;7453.2;7723.8;8021.6;8250.0;8339.3;8579.5;8915.0;8497.0;8831.1;9020.6
Albania;5920.3;6247.6;6592.2;6956.5;7367.1;7807.9;8393.5;8675.0;8996.6;9225.6;9356.4;9450.1;9617.8;9831.2;10157.1;10543.3;10967.1;11196.0;10806.2;;
Serbia;22678.4;23673.4;25810.7;27238.1;28629.4;30473.0;32196.4;31316.9;31545.8;32188.2;31968.8;32893.6;32370.7;32955.4;34055.6;34771.2;36334.2;37908.1;37565.7;40401.9;41311.5
