GDP(P2010);2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Cyprus;15.063,4;15.458,6;16.235,6;17.023,5;17.826,0;18.734,7;19.418,0;19.026,6;19.461,1;19.542,2;18.868,5;17.625,6;17.312,5;17.904,4;19.081,4;20.175,4;21.314,9;22.493,5;21.510,0;22.938,0;24.229,9
Latvia;14.142,7;15.334,0;16.604,2;18.384,3;20.585,2;22.631,8;21.896,4;18.774,0;17.937,5;18.399,2;19.694,9;20.090,3;20.472,5;21.267,9;21.771,7;22.492,8;23.390,7;23.991,8;23.463,3;24.416,8;24.899,3
Lithuania;20.831,2;23.032,2;24.545,3;26.443,2;28.403,7;31.558,7;32.383,7;27.578,4;28.033,8;29.726,8;30.869,5;31.965,3;33.096,0;33.766,0;34.616,5;36.099,0;37.540,6;39.276,8;39.268,3;41.617,0;42.402,5
Luxembourg;33.720,3;34.603,5;36.067,9;36.963,4;39.187,4;42.361,1;42.233,9;40.866,0;42.402,7;42.845,5;43.552,4;44.933,8;46.112,5;47.159,1;49.506,8;50.158,9;50.770,5;51.948,3;51.534,1;54.163,6;55.002,4
Hungary;88.072,4;91.660,7;96.247,9;100.381,1;104.342,2;104.631,6;105.682,0;98.709,3;99.771,6;101.634,2;100.363,6;102.172,6;106.496,8;110.445,0;112.875,9;117.697,9;124.009,3;130.041,4;124.143,3;133.081,6;139.173,9
Malta;5.436,3;5.657,8;5.665,7;5.857,4;6.004,5;6.291,1;6.531,9;6.457,8;6.815,8;6.847,6;7.129,6;7.519,8;8.093,9;8.871,5;9.171,5;10.168,4;10.798,2;11.555,0;10.559,8;11.806,5;12.615,4
Netherlands;572.593,4;573.484,6;584.868,0;596.862,9;617.520,2;640.818,3;654.726,1;630.718,1;639.187,0;649.102,0;642.414,0;641.577,7;650.709,9;663.458,4;677.999,5;697.735,4;714.208,3;728.175,3;699.877,8;733.914,4;766.780,9
Austria;261.538,0;264.000,3;271.221,0;277.307,4;286.885,7;297.579,1;301.925,0;290.558,8;295.896,6;304.545,1;306.617,4;306.695,6;308.723,7;311.855,7;318.059,8;325.243,4;333.131,9;338.186,8;316.360,3;330.776,4;347.305,1
Poland;254.754,0;263.666,2;276.804,3;286.511,4;304.077,8;325.550,4;339.223,4;348.830,8;359.067,8;377.172,6;383.000,8;386.281,4;401.102,9;418.684,4;431.050,3;453.206,3;480.150,4;501.517,3;491.386,0;525.035,0;550.625,3
Portugal;171.580,3;169.983,7;173.024,2;174.377,0;177.210,7;181.652,6;182.232,6;176.543,1;179.610,8;176.564,3;169.400,6;167.837,6;169.167,2;172.198,7;175.676,3;181.836,1;187.017,2;192.034,4;176.094,6;185.784,6;198.205,7
Romania;94.323,5;96.531,7;106.598,2;111.574,3;120.532,4;129.251,5;141.281,6;133.486,5;128.278,9;134.073,4;136.654,3;137.023,2;142.669,4;147.178,5;151.384,2;163.792,4;173.667,5;180.359,2;173.726,5;183.790,9;192.598,5
Slovenia;29.718,0;30.597,7;31.931,6;33.144,3;35.048,9;37.495,4;38.811,4;35.881,7;36.363,9;36.677,1;35.709,1;35.341,5;36.319,8;37.122,5;38.307,4;40.152,1;41.940,6;43.388,0;41.513,0;44.921,7;47.336,0
Slovakia;45.334,4;47.827,4;50.352,1;53.687,2;58.246,9;64.556,2;68.155,2;64.437,0;68.764,9;70.602,0;71.533,1;71.985,7;73.927,3;77.747,2;79.258,6;81.587,3;84.875,6;87.014,2;84.077,7;86.612,1;88.057,4
Finland;164.794,1;168.096,2;174.806,8;179.666,1;186.902,0;196.806,6;198.349,5;182.333,9;188.143,0;192.936,3;190.239,9;188.524,5;187.836,6;188.857,7;194.167,4;200.366,0;202.649,6;205.131,6;200.300,8;206.402,9;210.703,9
